Challenge Date,IP Address,User Agent,Country,Challenge Type
Sun Apr 06 04:27:41 UTC 2025,2603:3024:18c5:100:e92d:dd4a:c567:695d,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_3_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.3.1 Mobile/15E148 Safari/604.1",United States,CAPTCHA_CHALLENGE
Sun Apr 06 04:27:52 UTC 2025,2603:3024:18c5:100:e92d:dd4a:c567:695d,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_3_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.3.1 Mobile/15E148 Safari/604.1",United States,CAPTCHA_CHALLENGE
Sun Apr 06 18:28:33 UTC 2025,2603:3024:18c5:100:e883:ddfe:e60e:71e6,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36",United States,CAPTCHA_CHALLENGE
Sun Apr 06 18:28:33 UTC 2025,2603:3024:18c5:100:e883:ddfe:e60e:71e6,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36",United States,CAPTCHA_CHALLENGE
Sun Apr 06 18:28:42 UTC 2025,2603:3024:18c5:100:e883:ddfe:e60e:71e6,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36",United States,CAPTCHA_CHALLENGE
Wed Apr 09 05:17:12 UTC 2025,104.28.124.178,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_3_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.3.1 Mobile/15E148 Safari/604.1",United States,CAPTCHA_CHALLENGE
Wed Apr 09 05:17:12 UTC 2025,104.28.124.178,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_3_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.3.1 Mobile/15E148 Safari/604.1",United States,CAPTCHA_CHALLENGE
Wed Apr 09 05:17:22 UTC 2025,104.28.124.178,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_3_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.3.1 Mobile/15E148 Safari/604.1",United States,CAPTCHA_CHALLENGE
Thu Apr 10 18:09:08 UTC 2025,68.65.175.47,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36",United States,EMAIL_PIN_CHALLENGE
Thu Apr 10 18:09:08 UTC 2025,68.65.175.47,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36",United States,EMAIL_PIN_CHALLENGE
